week,price
29-12-2013,779.2966667
05-01-2014,848.9971429
12-01-2014,832.7171429
19-01-2014,816.5357143
26-01-2014,792.7685714
02-02-2014,785.4128571
09-02-2014,666.45
16-02-2014,615.2128571
23-02-2014,578.1414286
02-03-2014,636.4871429
09-03-2014,632.87
16-03-2014,611.7314286
23-03-2014,549.46
30-03-2014,460.7128571
06-04-2014,436.9028571
13-04-2014,475.7414286
20-04-2014,492.7871429
27-04-2014,451.2314286
04-05-2014,437.8928571
11-05-2014,445.24
18-05-2014,482.1542857
25-05-2014,575.2471429
01-06-2014,648.9557143
08-06-2014,628.9942857
15-06-2014,593.6857143
22-06-2014,584.2928571
29-06-2014,627.1757143
06-07-2014,626.6871429
13-07-2014,626.7071429
20-07-2014,618.0742857
27-07-2014,586.5957143
03-08-2014,585.7985714
10-08-2014,554.0342857
17-08-2014,506.09
24-08-2014,506.6357143
31-08-2014,482.72
07-09-2014,475.3442857
14-09-2014,451.5185714
21-09-2014,413.06
28-09-2014,379.7714286
05-10-2014,342.2157143
12-10-2014,385.58
19-10-2014,378.2214286
26-10-2014,346.7728571
02-11-2014,333.7671429
09-11-2014,383.9114286
16-11-2014,373.7742857
23-11-2014,369.2442857
30-11-2014,375.6314286
07-12-2014,359.4057143
14-12-2014,334.2228571
21-12-2014,327.6971429
28-12-2014,315.7414286
04-01-2015,283.3071429
11-01-2015,232.1442857
18-01-2015,218.6114286
25-01-2015,248.6785714
01-02-2015,225.3971429
08-02-2015,224.6214286
15-02-2015,242.2971429
22-02-2015,240.9857143
01-03-2015,268.7714286
08-03-2015,286.4514286
15-03-2015,274.7471429
22-03-2015,254.6585714
29-03-2015,248.7142857
05-04-2015,249.61
12-04-2015,226.3985714
19-04-2015,229.5557143
26-04-2015,227.2257143
03-05-2015,236.6785714
10-05-2015,239.1128571
17-05-2015,234.94
24-05-2015,236.5785714
31-05-2015,226.0557143
07-06-2015,227.1771429
14-06-2015,241.3014286
21-06-2015,243.4557143
28-06-2015,255.2628571
05-07-2015,270.0371429
12-07-2015,289.2742857
19-07-2015,278.7914286
26-07-2015,290.3442857
02-08-2015,280.9614286
09-08-2015,265.8085714
16-08-2015,241.6228571
23-08-2015,224.8428571
30-08-2015,229.0671429
06-09-2015,239.6671429
13-09-2015,231
20-09-2015,230.82
27-09-2015,236.35
04-10-2015,242.2
11-10-2015,251.21
18-10-2015,269.48
25-10-2015,299.3314286
01-11-2015,367.1057143
08-11-2015,351.6842857
15-11-2015,328.4914286
22-11-2015,333.7771429
29-11-2015,364.5114286
06-12-2015,409.3185714
13-12-2015,450.3428571
20-12-2015,447.4228571
27-12-2015,426.8
03-01-2016,438.6714286
10-01-2016,429.6871429
17-01-2016,391.7714286
24-01-2016,389.0314286
31-01-2016,375.7185714
07-02-2016,376.44
14-02-2016,408.0785714
21-02-2016,429.4928571
28-02-2016,426.4071429
06-03-2016,411.19
13-03-2016,413.79
20-03-2016,414.0528571
27-03-2016,417.9328571
03-04-2016,419.7742857
10-04-2016,423.6214286
17-04-2016,437.3971429
24-04-2016,456.1771429
01-05-2016,450.2114286
08-05-2016,455.9557143
15-05-2016,450.3271429
22-05-2016,448.5
29-05-2016,534.3685714
05-06-2016,577.8457143
12-06-2016,695.58
19-06-2016,682.8142857
26-06-2016,652.4571429
03-07-2016,669.0885714
10-07-2016,654.9671429
17-07-2016,667.2228571
24-07-2016,655.5628571
31-07-2016,589.8657143
07-08-2016,588.8785714
14-08-2016,572.1957143
21-08-2016,578.9014286
28-08-2016,571.6614286
04-09-2016,610.6428571
11-09-2016,609.3214286
18-09-2016,602.2571429
25-09-2016,603.6742857
02-10-2016,610.5557143
09-10-2016,626.8528571
16-10-2016,633.2757143
23-10-2016,663.4085714
30-10-2016,708.6228571
06-11-2016,711
13-11-2016,720.6657143
20-11-2016,739.5585714
27-11-2016,739.9342857
04-12-2016,762.4842857
11-12-2016,775.8914286
18-12-2016,825.3671429
25-12-2016,930.73
01-01-2017,1002.03
08-01-2017,861.2385714
15-01-2017,866.1285714
22-01-2017,910.5828571
29-01-2017,960.3785714
05-02-2017,1022.225714
12-02-2017,1017.497143
19-02-2017,1116.212857
26-02-2017,1212.21
05-03-2017,1214.108571
12-03-2017,1198.172857
19-03-2017,1015.9
26-03-2017,1021.812857
02-04-2017,1138.355714
09-04-2017,1196.607143
16-04-2017,1202.144286
23-04-2017,1278.481429
30-04-2017,1440.455714
07-05-2017,1682.934286
14-05-2017,1799.864286
21-05-2017,2194.43
28-05-2017,2273.852857
04-06-2017,2708.488571
11-06-2017,2652.042857
18-06-2017,2649.854286
25-06-2017,2517.68
02-07-2017,2540.76
09-07-2017,2377.904286
16-07-2017,2311.641429
23-07-2017,2693.715714
30-07-2017,2769.085714
06-08-2017,3379.13
13-08-2017,4171.172857
20-08-2017,4157.295714
27-08-2017,4553.41
03-09-2017,4473.608571
10-09-2017,3960.211429
17-09-2017,3779.892857
24-09-2017,3973.581429
01-10-2017,4337.324286
08-10-2017,4927.088571
15-10-2017,5733.157143
22-10-2017,5828.364286
29-10-2017,6486.278571
05-11-2017,7139.685714
12-11-2017,6883.44
19-11-2017,8096.074286
26-11-2017,9747.32
03-12-2017,13132.01429
10-12-2017,16219.88
17-12-2017,17162.11571
24-12-2017,14449.21571
31-12-2017,14528.65857
07-01-2018,14958.35857
14-01-2018,12352.00143
21-01-2018,11356.72
28-01-2018,10371.04857
04-02-2018,8083.374286
11-02-2018,9105.225714
18-02-2018,10629.13
25-02-2018,10361.98714
04-03-2018,10521.15714
11-03-2018,8768.008571
18-03-2018,8595.32
25-03-2018,7834.205714
01-04-2018,6926.988571
08-04-2018,7195.087143
15-04-2018,8242.688571
